taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Ecosystem Subtype	Culture Type	Depth In Meters	Proportal Clade	Proportal Ecotype	Genome Size   * assembled	Gene Count   * assembled	
2910016530	Bacteria	Finished	Mechanisms for the adaptation of two novel euryhaline phycoerythrobilin-containing Synechococcus to estuarine environments	Synechococcus sp. HK01-R	Chinese Academy of Sciences, South China Sea Institute of Oceanology	2910016530	Unclassified	Isolate				2479154	2779	
2716884678	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Uncultured Synechococcus sp. AG-686-C23	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884678	Pelagic			5.1A-IV		569328	703	
2716884408	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-418-M05	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884408	Pelagic			Not Assigned	High light adapted (HL)	240465	336	
2716884272	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-679-P15	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884272	Pelagic			HLI	High light adapted (HL)	1077894	1282	
2716884686	Bacteria	Draft	BiGRAPA-SouthPacific-SingleCells	Prochlorococcus sp. AG-311-L23	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884686	Pelagic			HLI	High light adapted (HL)	287318	334	
2551306553	Bacteria	Permanent Draft	Prochlorococcus sp. W2-W12 Sequencing	Prochlorococcus sp. W2	Massachusetts Institute of Technology	2551306553	Unclassified	Isolate				1266767	1581	
2716884605	Bacteria	Draft	bioGEOTRACES-SingleCells	Uncultured Synechococcus sp. AG-450-D21	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884605	Pelagic					234750	267	
2716884508	Bacteria	Draft	SCOPE-GRADIENT-SingleCells	Prochlorococcus sp. AG-686-M10	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884508	Pelagic			HLI	High light adapted (HL)	1172240	1432	
2551306556	Bacteria	Permanent Draft	Prochlorococcus sp. W2-W12 Sequencing	Prochlorococcus sp. W9	Massachusetts Institute of Technology	2551306556	Unclassified	Isolate				420150	741	
2716884409	Bacteria	Draft	bioGEOTRACES-SingleCells	Prochlorococcus sp. AG-418-M08	Bigelow Laboratory Single Cell Genomics Center (SCGC)	2716884409	Pelagic			HLI	High light adapted (HL)	1664652	1915	
